name,quantity,protein,carbs,sugars,cholesterol,fiber,fat,calories
Soup/ mix/ dry/ onion,0,7.48,65.07,4.65,0,6.6,0.3,293
Mushrooms/ raw/ enoki,0,2.66,7.81,0.22,0,2.7,0.3,37
Bacon and beef sticks,0,29.1,0.8,0.8,102,0,44,517
Salami/ pork/ Italian,0,21.7,1.2,1.2,80,0,37,425
Crackers/ whole-wheat,0,10.58,69.55,1.19,0,10.3,14,427
Peanuts/ raw/ spanish,0,26.15,15.83,0,0,9.5,50,570
Hominy/ white/ canned,0,1.48,14.26,1.82,0,2.5,0.9,72
Game meat/ raw/ moose,0,22.24,0,0,59,0,0.7,102
Pears/ red anjou/ raw,0,0.33,14.94,9.54,0,3,0.1,62
Horseradish/ prepared,0,1.18,11.29,7.99,0,3.3,0.7,48
Fish/ raw/ butterfish,0,17.28,0,0,65,0,8,146
Lebanon bologna/ beef,0,19.03,0.44,0,55,0,10,172
Ham and cheese spread,0,16.18,2.28,0,61,0,19,245
TACO BELL/ Taco Salad,0,6.69,15.1,0,19,3,9.2,170
Sauce/ worcestershire,0,0,19.46,10.03,0,0,0,78
Candies/ marshmallows,0,1.8,81.3,57.56,0,0.1,0.2,318
Hummus/ home prepared,0,4.86,20.12,0.27,0,4,8.6,177
Horned melon (Kiwano),0,1.78,7.56,0,0,0,1.3,44
Ice cream sundae cone,0,3,28.89,21.26,15,1,14,254
Peppers/ raw/ serrano,0,1.74,6.7,3.83,0,3.7,0.4,32
Cabbage/ cooked/ napa,0,1.1,2.23,0,0,0,0.2,12
Peppers/ dried/ ancho,0,11.86,51.42,0,0,21.6,8.2,281
Parsley/ freeze-dried,0,31.3,42.38,0,0,32.7,5.2,271
Spices/ black/ pepper,0,10.39,63.95,0.64,0,25.3,3.3,251
Spices/ white/ pepper,0,10.4,68.61,0,0,26.2,2.1,296
Yambean (jicama)/ raw,0,0.72,8.82,1.8,0,4.9,0.1,38
Nuts/ dried/ pilinuts,0,10.8,3.98,0,0,0,80,719
Kiwifruit/ raw/ green,0,1.14,14.66,8.99,0,3,0.5,61
Drumstick leaves/ raw,0,9.4,8.28,0,0,2,1.4,64
Yautia (tannier)/ raw,0,1.46,23.63,0,0,1.5,0.4,98
Candies/ butterscotch,0,0.03,90.4,80.46,9,0,3.3,391
Cucumber/ raw/ peeled,0,0.59,2.16,1.38,0,0.7,0.2,12
Dandelion greens/ raw,0,2.7,9.2,0.71,0,3.5,0.7,45
Melons/ raw/ honeydew,0,0.54,9.09,8.12,0,0.8,0.1,36
Potato salad with egg,0,1.96,16.18,4.95,17,1.3,9.4,157
Mushrooms/ raw/ white,0,3.09,3.26,1.98,0,1,0.3,22
Mushrooms/ raw/ morel,0,3.12,5.1,0.6,0,2.8,0.6,31
Cheese/ Mexican blend,0,23.54,1.75,1.23,95,0,29,358
Oranges/ Florida/ raw,0,0.7,11.54,9.14,0,2.4,0.2,46
SILK Vanilla/ soymilk,0,2.47,4.12,2.88,0,0.4,1.4,41
Papaya nectar/ canned,0,0.17,14.51,13.91,0,0.6,0.2,57
Fiddlehead ferns/ raw,0,4.55,5.54,0,0,0,0.4,34
SILK Peach soy yogurt,0,2.35,18.82,14.71,0,0.6,1.2,94
SILK Plain soy yogurt,0,2.64,9.69,5.29,0,0.4,1.8,66
PACE/ Enchilada Sauce,0,1.67,8.33,6.67,0,1.7,0,40
Yeast extract spread,0,23.88,20.42,1.6,0,6.5,0.9,185
Tomatoes/ raw/ green,0,1.2,5.1,4,0,1.1,0.2,23
Mollusks/ raw/ snail,0,16.1,2,0,50,0,1.4,90
Emu/ raw/ fan fillet,0,22.5,0,0,71,0,0.8,103
Pasta/ enriched/ dry,0,13.04,74.67,2.67,0,3.2,1.5,371
Cookies/ gingersnaps,0,5.6,76.9,19.92,0,2.2,9.8,416
Sour cream/ fat free,0,3.1,15.6,0.39,9,0,0,74
MURRAY/ Honey Graham,0,5.9,75.7,22,0,2.7,13,445
Frankfurter/ chicken,0,15.51,2.74,2.98,96,0,16,223
Ham/ canned/ chopped,0,16.06,0.26,0,49,0,19,239
Spices/ dried/ thyme,0,9.11,63.94,1.71,0,37,7.4,276
Carrot juice/ canned,0,0.95,9.28,3.91,0,0.8,0.2,40
Corn/ dried (Navajo),0,9.88,74.93,5.38,0,0,5.2,386
Pate/ truffle flavor,0,11.2,6.3,0,105,0,29,327
Fruit butters/ apple,0,0.39,42.47,35.3,0,1.5,0.3,173
Fast foods/ coleslaw,0,0.95,14.89,12.19,4,1.9,9.9,153
Salami/ beef/ cooked,0,12.6,1.9,1.5,71,0,22,261
Spices/ chili powder,0,13.46,49.7,7.19,0,34.8,14,282
Spices/ caraway seed,0,19.77,49.9,0.64,0,38,15,333
Spices/ dried/ basil,0,22.98,47.75,1.71,0,37.7,4.1,233
Pickle relish/ sweet,0,0.37,35.06,29.13,0,1.1,0.5,130
Chives/ freeze-dried,0,21.2,64.29,0,0,26.2,3.5,311
Fish/ raw/ sablefish,0,13.41,0,0,49,0,15,195
Crackers/ multigrain,0,7.1,67.6,12,0,3.5,20,482
Spices/ ground/ mace,0,6.71,50.5,0,0,20.2,32,475
Spices/ onion powder,0,10.41,79.12,6.63,0,15.2,1,341
Butter/ without salt,0,0.85,0.06,0.06,215,0,81,717
Rice noodles/ cooked,0,1.79,24.01,0.03,0,1,0.2,108
Barley flour or meal,0,10.5,74.52,0.8,0,10.1,1.6,345
Sesbania flower/ raw,0,1.28,6.73,0,0,0,0,27
Garlic bread/ frozen,0,8.36,41.72,3.69,0,2.5,17,350
KFC/ Popcorn Chicken,0,17.67,21.18,0,40,1,22,351
APPLEBEE'S/ coleslaw,0,0.79,13.17,9.33,2,2.8,7.1,120
Rolls/ sweet/ dinner,0,10.04,53.58,15.38,55,3.1,7.4,321
Cherries/ raw/ sweet,0,1.06,16.01,12.82,0,2.1,0.2,63
Ostrich/ raw/ ground,0,20.22,0,0,71,0,8.7,165
SILK Coffee/ soymilk,0,2.06,10.29,9.47,0,0,1.4,62
Snacks/ banana chips,0,2.3,58.4,35.34,0,7.7,34,519
Peaches/ raw/ yellow,0,0.91,9.54,8.39,0,1.5,0.3,39
Rolls/ wheat/ dinner,0,8.6,46,1.63,0,3.8,6.3,273
Candies/ HEATH BITES,0,3.94,63.39,60.02,19,2,30,530
Chicken/ raw/ ground,0,17.44,0.04,0,86,0,8.1,143
Pears/ bartlett/ raw,0,0.39,15.01,9.69,0,3.1,0.2,63
